time_sec,cos_sim_adjacent
820.820000,0.888927
821.821000,0.679211
822.822000,0.979045
823.823000,0.931175
824.824000,0.959018
825.825000,0.764112
826.826000,0.888942
827.827000,0.949478
828.828000,0.598812
829.829000,0.966605
830.830000,0.640937
831.831000,0.844618
832.832000,0.707434
833.833000,0.975490
834.834000,0.655091
835.835000,0.957086
836.836000,0.734485
837.837000,0.865802
838.838000,0.886173
839.839000,0.690942
840.840000,0.699530
841.841000,0.952259
842.842000,0.656902
843.843000,0.705949
844.844000,0.840310
845.845000,0.662545
846.846000,0.700350
847.847000,0.946414
848.848000,0.639158
849.849000,0.762521
850.850000,0.747456
851.851000,0.769410
852.852000,0.729551
853.853000,0.942147
854.854000,0.628136
855.855000,0.965640
856.856000,0.690093
857.857000,0.648790
858.858000,0.946923
859.859000,0.632858
860.860000,0.828988
861.861000,0.701822
862.862000,0.697061
863.863000,0.868343
864.864000,0.643147
865.865000,0.804912
866.866000,0.758198
867.867000,0.961814
868.868000,0.607593
869.869000,0.966228
870.870000,0.758474
871.871000,0.940714
872.872000,0.759778
873.873000,0.949967
874.874000,0.779310
875.875000,0.966352
876.876000,0.827664
877.877000,0.900210
878.878000,0.702711
879.879000,0.685336
880.880000,0.963616
881.881000,0.680731
882.882000,0.911067
883.883000,0.684344
884.884000,0.963772
885.885000,0.658773
886.886000,0.605797
887.887000,0.642909
888.888000,0.704035
889.889000,0.731000
890.890000,0.939129
891.891000,0.716713
892.892000,0.910981
893.893000,0.646704
894.894000,0.931670
895.895000,0.695945
896.896000,0.707313
897.897000,0.968849
898.898000,0.667249
899.899000,0.637041
900.900000,0.691407
901.901000,0.856047
902.902000,0.692053
903.903000,0.539735
904.904000,0.939351
905.905000,0.971956
906.906000,0.954332
907.907000,0.668699
908.908000,0.966415
909.909000,0.530353
910.910000,0.980900
911.911000,0.527936
912.912000,0.777523
913.913000,0.889454
914.914000,0.750709
915.915000,0.945649
916.916000,0.722287
917.917000,0.669340
918.918000,0.926414
919.919000,0.679309
920.920000,0.836328
921.921000,0.816918
922.922000,0.665652
923.923000,0.703023
924.924000,0.892124
925.925000,0.682562
926.926000,0.665302
927.927000,0.920094
928.928000,0.715168
929.929000,0.810062
930.930000,0.718806
